Number,Name,Latitude,Longitude
1,간호대학,33.45606,126.5644
2,경상대학 1호관,33.45408,126.5616
3,경상대학 2호관,33.45383,126.56273
4,공과대학 4호관,33.45481,126.56527
5,공과대학 1호관,33.45712,126.5656
6,공과대학 3호관,33.45644,126.56561
7,공과대학 2호관,33.4577,126.56609
8,교양강의동,33.45572,126.56447
9,대학본관,33.45594,126.56203
10,문화교류관(박물관),33.45885,126.56186
11,법학전문대학원,33.45353,126.56037
12,사범대학 1호관,33.45495,126.56311
13,사범대학 2호관,33.45531,126.56367
14,사회과학대학,33.45486,126.56162
15,수의과대학,33.45205,126.55864
16,생명자원과학대학 1호관,33.45825,126.56277
17,아라뮤즈홀,33.45359,126.55946
18,약학대학,33.45742,126.5601
19,인문대학 1호관,33.45348,126.55839
20,인문대학 2호관,33.45273,126.55851
21,예술디자인대학 미술관,33.45295,126.56174
22,예술디자인대학 음악관,33.45233,126.56279
23,운동장,33.45542,126.55947
24,언어교육원,33.45407,126.56028
25,자연과학대학 1호관,33.45801,126.56476
26,자연과학대학 2호관,33.45846,126.56058
27,정보화 본부,33.4545,126.56355
28,중앙도서관,33.45265,126.56086
29,체육관,33.45603,126.56051
30,학생회관,33.455,126.56063
31,학생생활관 1호관,33.45121,126.55693
32,학생생활관 2호관,33.45031,126.55704
33,학생생활관 3호관,33.45168,126.55648
34,학생생활관 4호관,33.45059,126.55806
35,학생생활관 5호관,33.45226,126.5566
36,학생생활관 6호관,33.4536,126.55662
37,해양과학대학 1호관,33.45702,126.56378
38,해양과학대학 3호관,33.45726,126.56453
39,해양과학대학 4호관,33.45485,126.56639
40,평생교육원,33.45231,126.56017
41,아라컨벤션홀,33.45229,126.55972
42,중앙디지털도서관,33.45222,126.56082
43,의학전문대학원,33.45288,126.56387
